"","team","season","tot_injured_value_lost"
"1","HOU",2021,81.8708408378582
"2","WAS",2019,66.8982229336539
"3","DAL",2015,64.516634
"4","CLE",2023,60.5539996111111
"5","NYJ",2005,60.515453
"6","BAL",2015,55.569295
"7","ARI",2022,55.2082908970588
"8","SF",2024,54.6825099954751
"9","CLE",2022,53.4793724588235
"10","CLE",2024,52.6367236127451
"11","NYJ",2023,52.0670774773109
"12","SF",2020,52.0126163656593
"13","MIN",2011,51.610341
"14","BAL",2022,50.9411153582112
"15","PIT",2019,50.9163391904762
"16","SF",2018,50.03105
"17","NYG",2023,48.5967741574866
"18","WAS",2021,47.4236554941177
"19","CIN",2019,46.8037097833333
"20","CLE",2015,46.119099
"21","JAX",2024,45.720740751634
"22","BUF",2015,45.522712
"23","NYG",2021,45.1506677058824
"24","DAL",2020,44.8933083579545
"25","NYJ",2012,44.556414
"26","PHI",2005,44.525705
"27","SF",2015,43.975098
"28","NYJ",2019,43.8224475625
"29","CAR",2019,43.581718610119
"30","DAL",2024,43.2679426470588
"31","LAC",2023,43.0787956442577
"32","NO",2024,41.7678738823529
"33","HOU",2013,41.265885
"34","ARI",2023,40.9546127647059
"35","MIA",2017,40.9219155
"36","ARI",2014,37.624078
"37","ARI",2012,37.296316
"38","HOU",2024,36.9951036842105
"39","LAC",2016,36.7799401875
"40","TEN",2022,36.4956534442068
"41","BAL",2007,36.447027
"42","CHI",2021,35.9099575751634
"43","NE",2008,35.845614
"44","MIN",2023,35.1068973823529
"45","DAL",2022,35.0492827817337
"46","KC",2012,34.038856
"47","IND",2019,34.0241910333333
"48","IND",2022,33.9840478125
"49","LA",2013,33.883914
"50","LA",2022,33.6710659558823
"51","NE",2004,32.73193
"52","WAS",2020,32.6811752386841
"53","PHI",2024,32.637526702381
"54","MIA",2024,32.5534456218487
"55","KC",2011,32.493602
"56","CHI",2011,32.090485
"57","CAR",2020,31.9139284583333
"58","NYG",2020,31.8333639803571
"59","NO",2022,31.6074855705882
"60","LV",2005,31.475436
"61","LV",2020,31.3805019625
"62","DAL",2010,31.036684
"63","NE",2017,30.7591004861244
"64","CIN",2020,30.4752241875
"65","NE",2020,30.1788098854575
"66","PHI",2006,30.168131
"67","BUF",2023,29.9663687368421
"68","CIN",2018,29.7896764375
"69","MIN",2020,29.7207698839286
"70","IND",2017,29.6089545625
"71","LV",2021,29.3274225222222
"72","NYJ",2020,29.2794025
"73","ARI",2021,29.2419574888889
"74","CIN",2023,29.1324274705882
"75","DEN",2022,28.8114059924585
"76","LAC",2014,28.806198
"77","NO",2015,28.409304
"78","SF",2019,28.253338877193
"79","GB",2017,28.1137289423077
"80","NO",2021,27.815001953877
"81","WAS",2018,27.3459274375
"82","LA",2002,27.288581
"83","TEN",2015,27.1352375
"84","CHI",2014,26.970626
"85","IND",2023,26.7540156391457
"86","TB",2015,26.570971
"87","CIN",2013,26.500588
"88","NYJ",2021,26.2767436561086
"89","WAS",2004,25.97094
"90","WAS",2006,25.97094
"91","MIA",2021,25.8921695868347
"92","HOU",2011,25.872329
"93","BAL",2021,25.7115379411765
"94","CLE",2021,25.602233238141
"95","MIN",2021,25.4510528235294
"96","JAX",2019,25.3281144166667
"97","BAL",2023,25.1836213947368
"98","TEN",2021,24.9202343305556
"99","TB",2024,24.7663535396825
"100","NYG",2013,24.666491
"101","TB",2021,24.4013179906276
"102","LV",2022,24.3069847773109
"103","NO",2008,24.262407
"104","NE",2023,24.2222673250377
"105","CLE",2019,24.1578660625
"106","JAX",2018,23.9746705
"107","CLE",2014,23.931074
"108","LAC",2015,23.786942
"109","KC",2004,23.452044
"110","KC",2005,23.452044
"111","NYG",2014,23.4483
"112","PHI",2012,23.141627
"113","TB",2016,22.8252301916667
"114","BAL",2008,22.675458
"115","BAL",2014,22.666839
"116","TEN",2019,22.4985957815789
"117","PIT",2012,22.371196
"118","NYG",2019,22.1343456517857
